"X","Y"
267219.59163572,589699.96611283
267228.82545513,589687.95351128
267328.97769014,589446.51391344
267363.14049999,589187.36829414
267363.14059996,589162.3396108
267363.1410998,589137.38092668
267363.14119995,589112.33841791
267363.14179971,589087.39184174
267363.1418,589062.3213
267363.13230076,589037.17636664
267363.13239996,589012.34021095
267363.1328998,588987.38162676
267363.1329,588962.33501376
267363.13304177,588955.25598656
267403.81244358,588857.16138241
267412.15754587,588844.65623455
267415.06458583,588830.0278851
267428.98970726,588796.44874641
267434.67402721,588753.31775409
267453.82398316,588707.15219644
267462.16389332,588694.65476134
267465.06613268,588680.05030111
267467.57490137,588674.00231302
267487.16071092,588644.65288556
267490.71760799,588626.75414613
267512.20693548,588594.55541419
267526.24188423,588523.83754755
267553.82719263,588487.9505983
267569.60133365,588449.92325091
267578.88845215,588437.83720108
267653.81695755,588257.15558931
267662.16180878,588244.65079073
267665.06857592,588230.02358485
267678.99170023,588196.44954613
267693.2717986,588088.10153726
267738.1354998,587862.34193486
267738.1359998,587837.38543486
267738.13609995,587812.33281759
267738.13669971,587787.38634183
267738.13678235,587777.04780265
267763.13599999,587587.36479415
267763.13609995,587562.33821333
267763.13669971,587537.3817322
267763.13689992,587512.33511103
267763.1373998,587487.38483502
267763.13748235,587477.05113243
267787.18801017,587294.56683051
267787.19550704,587294.55559275
267863.13179961,586912.34514892
267863.13249961,586887.38874892
267863.13259995,586862.33831334
267863.13319971,586837.3818322
267863.13321069,586834.63937506
267879.04641844,586796.25545005
267884.83436561,586752.2383604
267930.55587736,586640.54113464
267940.7445874,586558.39465468
268006.55506278,586472.71844719
268108.58783941,586103.68889104
268110.65873941,586076.89049104
268112.49929311,586047.41138632
268114.40669764,586007.35845409
268115.03455922,585997.35427376
268116.37285922,585973.71087376
268117.01914116,585960.81902931
268117.11243114,585958.68242781
268117.59177394,585950.0743218
268117.91587394,585943.6309218
268118.66808162,585925.34135897
268119.44288162,585901.10065897
268119.93719245,585874.83001131
268120.07839245,585849.95291131
268119.71944124,585816.89139494
268119.01584124,585791.20879494
268117.33111516,585754.44368584
268116.57521516,585742.68478584
268116.50034858,585742.6895985
268114.41823402,585711.63049725
268113.70293402,585703.55259725
268113.01854124,585696.13802498
268111.39364124,585679.22252498
268107.48184477,585644.78234886
268104.20144477,585619.77434886
268097.28256061,585574.94015707
268096.60999229,585571.15385204
268095.24752424,585562.85398684
268088.81658346,585527.6344593
268084.49548346,585506.1532593
268078.95607308,585480.37781063
268075.45987308,585465.09331063
268066.04233931,585427.32044471
268063.22333931,585416.88354471
268059.56082285,585403.68348963
268057.31632285,585395.80398963
268053.36193814,585382.28395497
268050.49798118,585372.74204549
268048.55326653,585366.16808805
268041.04629536,585341.92649399
268027.05139536,585298.68359399
268002.62580461,585231.50747949
267993.46710461,585208.87267949
267989.59010027,585199.42995183
267973.74370027,585161.38865183
267933.55362515,585076.39969474
